regime,variant,r,stage1_kernel,stage1_label,n_selected
diff_mean_tiny_covariance_gap,MY-small_mu,16,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0017035186347248033)",1
diff_mean_tiny_covariance_gap,MY-small_mu,16,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0017054530536777348)",1
diff_mean_tiny_covariance_gap,MY-small_mu,16,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054574491412824)",1
diff_mean_tiny_covariance_gap,MY-small_mu,20,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0017035186347248033)",1
diff_mean_tiny_covariance_gap,MY-small_mu,20,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0017054530536777348)",1
diff_mean_tiny_covariance_gap,MY-small_mu,20,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0017054574491412824)",1
diff_mean_tiny_covariance_gap,MY-small_mu,24,laplacian,laplacian(gamma=0.0017035186347248033),1
diff_mean_tiny_covariance_gap,MY-small_mu,24,linear,linear,1
diff_mean_tiny_covariance_gap,MY-small_mu,24,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054574491412824)",1
diff_mean_tiny_covariance_gap,MY-small_mu,28,laplacian,laplacian(gamma=0.0017054574491412824),1
diff_mean_tiny_covariance_gap,MY-small_mu,28,linear,linear,1
diff_mean_tiny_covariance_gap,MY-small_mu,28,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054530536777348)",1
diff_mean_tiny_covariance_gap,MY-small_mu,32,linear,linear,1
diff_mean_tiny_covariance_gap,MY-small_mu,32,rbf,rbf(gamma=0.0017054574491412824),1
diff_mean_tiny_covariance_gap,MY-small_mu,32,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054530536777348)",1
same_mean_diff_covariance,KFDA-1D,1,linear,linear,3
same_mean_diff_covariance,MY-large_mu,1,linear,linear,2
same_mean_diff_covariance,MY-large_mu,1,sigmoid,"sigmoid(coef0=0.0, gamma=0.001517371612859597)",1
same_mean_diff_covariance,MY-large_mu,2,linear,linear,1
same_mean_diff_covariance,MY-large_mu,2,rbf,rbf(gamma=0.0015153536519245177),1
same_mean_diff_covariance,MY-large_mu,2,sigmoid,"sigmoid(coef0=0.0, gamma=0.00152749548677943)",1
same_mean_diff_covariance,MY-large_mu,3,rbf,rbf(gamma=0.001517371612859597),1
same_mean_diff_covariance,MY-large_mu,3,rbf,rbf(gamma=0.00152749548677943),1
same_mean_diff_covariance,MY-large_mu,3,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015153536519245177)",1
same_mean_diff_covariance,MY-large_mu,4,laplacian,laplacian(gamma=0.0015153536519245177),1
same_mean_diff_covariance,MY-large_mu,4,linear,linear,1
same_mean_diff_covariance,MY-large_mu,4,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.00152749548677943)",1
same_mean_diff_covariance,MY-large_mu,5,linear,linear,1
same_mean_diff_covariance,MY-large_mu,5,sigmoid,"sigmoid(coef0=0.0, gamma=0.001517371612859597)",1
same_mean_diff_covariance,MY-large_mu,5,sigmoid,"sigmoid(coef0=0.0, gamma=0.00152749548677943)",1
same_mean_diff_covariance,MY-large_mu,6,linear,linear,1
same_mean_diff_covariance,MY-large_mu,6,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.001517371612859597)",1
same_mean_diff_covariance,MY-large_mu,6,sigmoid,"sigmoid(coef0=0.0, gamma=0.00152749548677943)",1
same_mean_diff_covariance,MY-large_mu,7,linear,linear,1
same_mean_diff_covariance,MY-large_mu,7,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.001517371612859597)",1
same_mean_diff_covariance,MY-large_mu,7,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015153536519245177)",1
same_mean_diff_covariance,MY-large_mu,8,linear,linear,1
same_mean_diff_covariance,MY-large_mu,8,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.001517371612859597)",1
same_mean_diff_covariance,MY-large_mu,8,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015153536519245177)",1
same_mean_diff_covariance,MY-large_mu,10,linear,linear,2
same_mean_diff_covariance,MY-large_mu,10,laplacian,laplacian(gamma=0.0015153536519245177),1
same_mean_diff_covariance,MY-large_mu,12,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0015153536519245177)",1
same_mean_diff_covariance,MY-large_mu,12,rbf,rbf(gamma=0.001517371612859597),1
same_mean_diff_covariance,MY-large_mu,12,rbf,rbf(gamma=0.00152749548677943),1
same_mean_diff_covariance,MY-large_mu,14,linear,linear,1
same_mean_diff_covariance,MY-large_mu,14,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.00152749548677943)",1
same_mean_diff_covariance,MY-large_mu,14,sigmoid,"sigmoid(coef0=0.0, gamma=0.001517371612859597)",1
same_mean_diff_covariance,MY-large_mu,16,rbf,rbf(gamma=0.00152749548677943),1
same_mean_diff_covariance,MY-large_mu,16,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015153536519245177)",1
same_mean_diff_covariance,MY-large_mu,16,sigmoid,"sigmoid(coef0=0.0, gamma=0.001517371612859597)",1
