variant,r,stage1_kernel,stage1_params,stage1_label,val_acc,best_svm_kernel,best_svm_params,diag,regime,repeat
MY-small_mu,2,polynomial,"{'degree': 2, 'gamma': 0.0016660665160696936, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0016660665160696936)",0.5545454545454546,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.0002, 0.0007]), 'lambdas': array([0.0002, 0.0007]), 'D_scores': array([2561.853,  715.742])}",strong500,2
MY-small_mu,2,sigmoid,"{'gamma': 0.0016660665160696936, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0016660665160696936)",0.5757575757575758,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0016]), 'lambdas': array([0.    , 0.0016]), 'D_scores': array([3.2977e+08, 3.0077e+02])}",strong500,2
MY-small_mu,3,linear,{},linear,0.47575757575757577,poly,"{'C': 0.5, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0013, 0.0035, 0.0052]), 'lambdas': array([0.0013, 0.0035, 0.0052]), 'D_scores': array([372.2468, 138.878 ,  93.3217])}",strong500,2
MY-small_mu,3,rbf,{'gamma': 0.0016660665160696936},rbf(gamma=0.0016660665160696936),0.5575757575757576,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0001, 0.0002]), 'lambdas': array([0.    , 0.0001, 0.0002]), 'D_scores': array([28680.6963,  7250.4627,  2026.4032])}",strong500,2
MY-small_mu,3,laplacian,{'gamma': 0.0016660665160696936},laplacian(gamma=0.0016660665160696936),0.4909090909090909,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.0001, 0.0002, 0.0003]), 'lambdas': array([0.0001, 0.0002, 0.0003]), 'D_scores': array([3677.3283, 2118.3448, 1635.5725])}",strong500,2
MY-small_mu,3,polynomial,"{'degree': 2, 'gamma': 0.0016660665160696936, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0016660665160696936)",0.5696969696969697,poly,"{'C': 1.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0006, 0.0008, 0.0014]), 'lambdas': array([0.0006, 0.0008, 0.0014]), 'D_scores': array([839.2667, 647.1647, 347.1276])}",strong500,2
MY-small_mu,3,sigmoid,"{'gamma': 0.0016660665160696936, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0016660665160696936)",0.5363636363636364,poly,"{'C': 0.5, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0078, 0.0098, 0.012 ]), 'lambdas': array([0.0078, 0.0098, 0.012 ]), 'D_scores': array([61.2786, 48.1545, 38.7924])}",strong500,2
MY-small_mu,4,linear,{},linear,0.5393939393939394,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.0018, 0.003 , 0.0056, 0.0098]), 'lambdas': array([0.0018, 0.003 , 0.0056, 0.0098]), 'D_scores': array([274.6717, 160.5981,  86.0171,  48.3605])}",strong500,2
MY-small_mu,4,rbf,{'gamma': 0.0016660665160696936},rbf(gamma=0.0016660665160696936),0.5363636363636364,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.    , 0.    , 0.0001, 0.0002]), 'lambdas': array([0.    , 0.    , 0.0001, 0.0002]), 'D_scores': array([100188.5496,  27298.9499,   3514.0943,   2179.7803])}",strong500,2
MY-small_mu,4,laplacian,{'gamma': 0.0016660665160696936},laplacian(gamma=0.0016660665160696936),0.5242424242424243,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0001, 0.0001, 0.0002]), 'lambdas': array([0.    , 0.0001, 0.0001, 0.0002]), 'D_scores': array([29983.0921,  5969.2663,  3407.5868,  2588.3088])}",strong500,2
MY-small_mu,4,polynomial,"{'degree': 2, 'gamma': 0.0016660665160696936, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0016660665160696936)",0.5484848484848485,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.0001, 0.0003, 0.0014, 0.0015]), 'lambdas': array([0.0001, 0.0003, 0.0014, 0.0015]), 'D_scores': array([8284.0748, 1753.6028,  342.6462,  333.8498])}",strong500,2
MY-small_mu,4,sigmoid,"{'gamma': 0.0016660665160696936, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0016660665160696936)",0.5303030303030303,rbf,"{'C': 1.0, 'gamma': 0.5}","{'thetas': array([0.004 , 0.0048, 0.0143, 0.0164]), 'lambdas': array([0.004 , 0.0048, 0.0143, 0.0164]), 'D_scores': array([122.4953, 101.4135,  32.3811,  27.8953])}",strong500,2
KFDA-1D,1,linear,{},linear,0.5393939393939394,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'top_lambda': 588.9933215489108, 'd_norm': 151.1713047126526}",strong500,3
KFDA-1D,1,rbf,{'gamma': 0.0016562902770906242},rbf(gamma=0.0016562902770906242),0.5212121212121212,poly,"{'C': 2.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'top_lambda': 49556.69911861295, 'd_norm': 0.19944299494999493}",strong500,3
KFDA-1D,1,laplacian,{'gamma': 0.0016562902770906242},laplacian(gamma=0.0016562902770906242),0.4909090909090909,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'top_lambda': 48023.893868208, 'd_norm': 0.14562091704970606}",strong500,3
KFDA-1D,1,polynomial,"{'degree': 2, 'gamma': 0.0016562902770906242, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0016562902770906242)",0.5272727272727272,linear,{'C': 1.0},"{'top_lambda': 36740.760237605136, 'd_norm': 0.7340962667433725}",strong500,3
KFDA-1D,1,sigmoid,"{'gamma': 0.0016562902770906242, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0016562902770906242)",0.4575757575757576,rbf,"{'C': 0.5, 'gamma': 0.5}","{'top_lambda': 209.33686508036476, 'd_norm': 0.19993435647495442}",strong500,3
MY-large_mu,1,linear,{},linear,0.5484848484848485,poly,"{'C': 0.5, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0004]), 'lambdas': array([0.0004]), 'gvals': array([1284.7717])}",strong500,3
MY-large_mu,1,rbf,{'gamma': 0.0016562902770906242},rbf(gamma=0.0016562902770906242),0.5757575757575758,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.]), 'lambdas': array([0.]), 'gvals': array([179164.0301])}",strong500,3
MY-large_mu,1,laplacian,{'gamma': 0.0016562902770906242},laplacian(gamma=0.0016562902770906242),0.6181818181818182,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.0001]), 'lambdas': array([0.0001]), 'gvals': array([9174.5918])}",strong500,3
MY-large_mu,1,polynomial,"{'degree': 2, 'gamma': 0.0016562902770906242, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0016562902770906242)",0.5878787878787879,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.0005]), 'lambdas': array([0.0005]), 'gvals': array([1013.3729])}",strong500,3
MY-large_mu,1,sigmoid,"{'gamma': 0.0016562902770906242, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0016562902770906242)",0.5393939393939394,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.0035]), 'lambdas': array([0.0035]), 'gvals': array([139.5422])}",strong500,3
MY-large_mu,2,linear,{},linear,0.5818181818181818,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.0012, 0.0021]), 'lambdas': array([0.0012, 0.0021]), 'gvals': array([411.1923, 235.996 ])}",strong500,3
MY-large_mu,2,rbf,{'gamma': 0.0016562902770906242},rbf(gamma=0.0016562902770906242),0.5727272727272728,poly,"{'C': 1.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.    , 0.0001]), 'lambdas': array([0.    , 0.0001]), 'gvals': array([12310.5284,  5120.7949])}",strong500,3
