task,rep,family,method,algo,r,stage1_kernel,acc,openml_id
heart-statlog,0,MY-large_mu,MY-large_mu-r32,large_mu,32,laplacian,0.8055555555555556,53
heart-statlog,0,MY-large_mu,MY-large_mu-r64,large_mu,64,laplacian,0.8148148148148148,53
heart-statlog,0,MY-small_mu,MY-small_mu-r1,small_mu,1,laplacian,0.5925925925925926,53
heart-statlog,0,MY-small_mu,MY-small_mu-r2,small_mu,2,laplacian,0.6388888888888888,53
heart-statlog,0,MY-small_mu,MY-small_mu-r3,small_mu,3,laplacian,0.6018518518518519,53
heart-statlog,0,MY-small_mu,MY-small_mu-r4,small_mu,4,laplacian,0.6666666666666666,53
heart-statlog,0,MY-small_mu,MY-small_mu-r5,small_mu,5,laplacian,0.6018518518518519,53
heart-statlog,0,MY-small_mu,MY-small_mu-r6,small_mu,6,laplacian,0.6481481481481481,53
heart-statlog,0,MY-small_mu,MY-small_mu-r32,small_mu,32,laplacian,0.5648148148148148,53
heart-statlog,0,MY-small_mu,MY-small_mu-r64,small_mu,64,laplacian,0.7685185185185185,53
segment,0,KFDA,KFDA-1D,kfda,1,linear,0.8571428571428571,36
segment,0,MY-large_mu,MY-large_mu-r1,large_mu,1,linear,0.8571428571428571,36
segment,0,MY-large_mu,MY-large_mu-r2,large_mu,2,linear,0.8571428571428571,36
segment,0,MY-large_mu,MY-large_mu-r3,large_mu,3,linear,0.8571428571428571,36
segment,0,MY-large_mu,MY-large_mu-r4,large_mu,4,linear,0.8571428571428571,36
segment,0,MY-large_mu,MY-large_mu-r5,large_mu,5,linear,0.8571428571428571,36
segment,0,MY-large_mu,MY-large_mu-r6,large_mu,6,linear,0.8571428571428571,36
segment,0,MY-large_mu,MY-large_mu-r32,large_mu,32,linear,0.9556277056277056,36
segment,0,MY-large_mu,MY-large_mu-r64,large_mu,64,linear,0.9642857142857143,36
segment,0,MY-small_mu,MY-small_mu-r1,small_mu,1,linear,0.8571428571428571,36
segment,0,MY-small_mu,MY-small_mu-r2,small_mu,2,linear,0.8571428571428571,36
segment,0,MY-small_mu,MY-small_mu-r3,small_mu,3,linear,0.8571428571428571,36
segment,0,MY-small_mu,MY-small_mu-r4,small_mu,4,linear,0.8571428571428571,36
segment,0,MY-small_mu,MY-small_mu-r5,small_mu,5,linear,0.8571428571428571,36
segment,0,MY-small_mu,MY-small_mu-r6,small_mu,6,linear,0.8571428571428571,36
segment,0,MY-small_mu,MY-small_mu-r32,small_mu,32,linear,0.9556277056277056,36
segment,0,MY-small_mu,MY-small_mu-r64,small_mu,64,linear,0.9642857142857143,36
segment,0,KFDA,KFDA-1D,kfda,1,rbf,0.9274891774891775,36
segment,0,MY-large_mu,MY-large_mu-r1,large_mu,1,rbf,0.9783549783549783,36
segment,0,MY-large_mu,MY-large_mu-r2,large_mu,2,rbf,0.9761904761904762,36
segment,0,MY-large_mu,MY-large_mu-r3,large_mu,3,rbf,0.946969696969697,36
segment,0,MY-large_mu,MY-large_mu-r4,large_mu,4,rbf,0.946969696969697,36
segment,0,MY-large_mu,MY-large_mu-r5,large_mu,5,rbf,0.9826839826839827,36
segment,0,MY-large_mu,MY-large_mu-r6,large_mu,6,rbf,0.9393939393939394,36
segment,0,MY-large_mu,MY-large_mu-r32,large_mu,32,rbf,0.9945887445887446,36
segment,0,MY-large_mu,MY-large_mu-r64,large_mu,64,rbf,0.9913419913419913,36
segment,0,MY-small_mu,MY-small_mu-r1,small_mu,1,rbf,0.8571428571428571,36
segment,0,MY-small_mu,MY-small_mu-r2,small_mu,2,rbf,0.8571428571428571,36
segment,0,MY-small_mu,MY-small_mu-r3,small_mu,3,rbf,0.8571428571428571,36
segment,0,MY-small_mu,MY-small_mu-r4,small_mu,4,rbf,0.9264069264069265,36
segment,0,MY-small_mu,MY-small_mu-r5,small_mu,5,rbf,0.948051948051948,36
segment,0,MY-small_mu,MY-small_mu-r6,small_mu,6,rbf,0.9588744588744589,36
segment,0,MY-small_mu,MY-small_mu-r32,small_mu,32,rbf,0.9945887445887446,36
segment,0,MY-small_mu,MY-small_mu-r64,small_mu,64,rbf,0.9913419913419913,36
segment,0,KFDA,KFDA-1D,kfda,1,laplacian,0.935064935064935,36
segment,0,MY-large_mu,MY-large_mu-r1,large_mu,1,laplacian,0.9945887445887446,36
segment,0,MY-large_mu,MY-large_mu-r2,large_mu,2,laplacian,0.9935064935064936,36
segment,0,MY-large_mu,MY-large_mu-r3,large_mu,3,laplacian,0.9913419913419913,36
segment,0,MY-large_mu,MY-large_mu-r4,large_mu,4,laplacian,0.9913419913419913,36
segment,0,MY-large_mu,MY-large_mu-r5,large_mu,5,laplacian,0.9935064935064936,36
segment,0,MY-large_mu,MY-large_mu-r6,large_mu,6,laplacian,0.9902597402597403,36
segment,0,MY-large_mu,MY-large_mu-r32,large_mu,32,laplacian,0.9902597402597403,36
segment,0,MY-large_mu,MY-large_mu-r64,large_mu,64,laplacian,1.0,36
segment,0,MY-small_mu,MY-small_mu-r1,small_mu,1,laplacian,0.8571428571428571,36
segment,0,MY-small_mu,MY-small_mu-r2,small_mu,2,laplacian,0.9025974025974026,36
segment,0,MY-small_mu,MY-small_mu-r3,small_mu,3,laplacian,0.9047619047619048,36
segment,0,MY-small_mu,MY-small_mu-r4,small_mu,4,laplacian,0.9372294372294372,36
segment,0,MY-small_mu,MY-small_mu-r5,small_mu,5,laplacian,0.9523809523809523,36
segment,0,MY-small_mu,MY-small_mu-r6,small_mu,6,laplacian,0.9632034632034632,36
segment,0,MY-small_mu,MY-small_mu-r32,small_mu,32,laplacian,0.9902597402597403,36
segment,0,MY-small_mu,MY-small_mu-r64,small_mu,64,laplacian,0.9913419913419913,36
ringnorm,0,KFDA,KFDA-1D,kfda,1,linear,0.754054054054054,1496
ringnorm,0,MY-large_mu,MY-large_mu-r1,large_mu,1,linear,0.7472972972972973,1496
ringnorm,0,MY-large_mu,MY-large_mu-r2,large_mu,2,linear,0.7905405405405406,1496
ringnorm,0,MY-large_mu,MY-large_mu-r3,large_mu,3,linear,0.8317567567567568,1496
ringnorm,0,MY-large_mu,MY-large_mu-r4,large_mu,4,linear,0.856081081081081,1496
ringnorm,0,MY-large_mu,MY-large_mu-r5,large_mu,5,linear,0.8726351351351351,1496
ringnorm,0,MY-large_mu,MY-large_mu-r6,large_mu,6,linear,0.8885135135135135,1496
ringnorm,0,MY-large_mu,MY-large_mu-r32,large_mu,32,linear,0.9506756756756757,1496
ringnorm,0,MY-large_mu,MY-large_mu-r64,large_mu,64,linear,0.9628378378378378,1496
ringnorm,0,MY-small_mu,MY-small_mu-r1,small_mu,1,linear,0.6530405405405405,1496
ringnorm,0,MY-small_mu,MY-small_mu-r2,small_mu,2,linear,0.7361486486486486,1496
ringnorm,0,MY-small_mu,MY-small_mu-r3,small_mu,3,linear,0.7672297297297297,1496
ringnorm,0,MY-small_mu,MY-small_mu-r4,small_mu,4,linear,0.8030405405405405,1496
ringnorm,0,MY-small_mu,MY-small_mu-r5,small_mu,5,linear,0.8256756756756757,1496
ringnorm,0,MY-small_mu,MY-small_mu-r6,small_mu,6,linear,0.8469594594594595,1496
ringnorm,0,MY-small_mu,MY-small_mu-r32,small_mu,32,linear,0.9445945945945946,1496
ringnorm,0,MY-small_mu,MY-small_mu-r64,small_mu,64,linear,0.9594594594594594,1496
ringnorm,0,KFDA,KFDA-1D,kfda,1,rbf,0.9807432432432432,1496
ringnorm,0,MY-large_mu,MY-large_mu-r1,large_mu,1,rbf,0.9706081081081082,1496
ringnorm,0,MY-large_mu,MY-large_mu-r2,large_mu,2,rbf,0.9706081081081082,1496
ringnorm,0,MY-large_mu,MY-large_mu-r3,large_mu,3,rbf,0.9702702702702702,1496
ringnorm,0,MY-large_mu,MY-large_mu-r4,large_mu,4,rbf,0.9702702702702702,1496
ringnorm,0,MY-large_mu,MY-large_mu-r5,large_mu,5,rbf,0.9702702702702702,1496
ringnorm,0,MY-large_mu,MY-large_mu-r6,large_mu,6,rbf,0.9706081081081082,1496
ringnorm,0,MY-large_mu,MY-large_mu-r32,large_mu,32,rbf,0.9689189189189189,1496
ringnorm,0,MY-large_mu,MY-large_mu-r64,large_mu,64,rbf,0.9695945945945946,1496
ringnorm,0,MY-small_mu,MY-small_mu-r1,small_mu,1,rbf,0.5989864864864864,1496
ringnorm,0,MY-small_mu,MY-small_mu-r2,small_mu,2,rbf,0.6506756756756756,1496
ringnorm,0,MY-small_mu,MY-small_mu-r3,small_mu,3,rbf,0.6682432432432432,1496
ringnorm,0,MY-small_mu,MY-small_mu-r4,small_mu,4,rbf,0.6875,1496
ringnorm,0,MY-small_mu,MY-small_mu-r5,small_mu,5,rbf,0.7094594594594594,1496
ringnorm,0,MY-small_mu,MY-small_mu-r6,small_mu,6,rbf,0.7182432432432433,1496
ringnorm,0,MY-small_mu,MY-small_mu-r32,small_mu,32,rbf,0.8729729729729729,1496
ringnorm,0,MY-small_mu,MY-small_mu-r64,small_mu,64,rbf,0.9472972972972973,1496
ringnorm,0,KFDA,KFDA-1D,kfda,1,laplacian,0.9682432432432433,1496
ringnorm,0,MY-large_mu,MY-large_mu-r1,large_mu,1,laplacian,0.9722972972972973,1496
ringnorm,0,MY-large_mu,MY-large_mu-r2,large_mu,2,laplacian,0.970945945945946,1496
ringnorm,0,MY-large_mu,MY-large_mu-r3,large_mu,3,laplacian,0.9712837837837838,1496
ringnorm,0,MY-large_mu,MY-large_mu-r4,large_mu,4,laplacian,0.9716216216216216,1496
ringnorm,0,MY-large_mu,MY-large_mu-r5,large_mu,5,laplacian,0.9712837837837838,1496
ringnorm,0,MY-large_mu,MY-large_mu-r6,large_mu,6,laplacian,0.9722972972972973,1496
ringnorm,0,MY-large_mu,MY-large_mu-r32,large_mu,32,laplacian,0.9716216216216216,1496
ringnorm,0,MY-large_mu,MY-large_mu-r64,large_mu,64,laplacian,0.975,1496
ringnorm,0,MY-small_mu,MY-small_mu-r1,small_mu,1,laplacian,0.6023648648648648,1496
ringnorm,0,MY-small_mu,MY-small_mu-r2,small_mu,2,laplacian,0.6503378378378378,1496
ringnorm,0,MY-small_mu,MY-small_mu-r3,small_mu,3,laplacian,0.6844594594594594,1496
ringnorm,0,MY-small_mu,MY-small_mu-r4,small_mu,4,laplacian,0.7074324324324325,1496
ringnorm,0,MY-small_mu,MY-small_mu-r5,small_mu,5,laplacian,0.7206081081081082,1496
ringnorm,0,MY-small_mu,MY-small_mu-r6,small_mu,6,laplacian,0.7445945945945946,1496
ringnorm,0,MY-small_mu,MY-small_mu-r32,small_mu,32,laplacian,0.9256756756756757,1496
ringnorm,0,MY-small_mu,MY-small_mu-r64,small_mu,64,laplacian,0.9472972972972973,1496
sonar,0,KFDA,KFDA-1D,kfda,1,linear,0.5476190476190477,40
sonar,0,MY-large_mu,MY-large_mu-r1,large_mu,1,linear,0.5119047619047619,40
sonar,0,MY-large_mu,MY-large_mu-r2,large_mu,2,linear,0.5714285714285714,40
sonar,0,MY-large_mu,MY-large_mu-r3,large_mu,3,linear,0.5833333333333334,40
sonar,0,MY-large_mu,MY-large_mu-r4,large_mu,4,linear,0.6190476190476191,40
sonar,0,MY-large_mu,MY-large_mu-r5,large_mu,5,linear,0.5714285714285714,40
sonar,0,MY-large_mu,MY-large_mu-r6,large_mu,6,linear,0.5833333333333334,40
sonar,0,MY-large_mu,MY-large_mu-r32,large_mu,32,linear,0.5357142857142857,40
sonar,0,MY-large_mu,MY-large_mu-r64,large_mu,64,linear,0.5714285714285714,40
sonar,0,MY-small_mu,MY-small_mu-r1,small_mu,1,linear,0.6428571428571429,40
sonar,0,MY-small_mu,MY-small_mu-r2,small_mu,2,linear,0.6309523809523809,40
sonar,0,MY-small_mu,MY-small_mu-r3,small_mu,3,linear,0.5952380952380952,40
sonar,0,MY-small_mu,MY-small_mu-r4,small_mu,4,linear,0.5952380952380952,40
sonar,0,MY-small_mu,MY-small_mu-r5,small_mu,5,linear,0.5714285714285714,40
sonar,0,MY-small_mu,MY-small_mu-r6,small_mu,6,linear,0.5833333333333334,40
sonar,0,MY-small_mu,MY-small_mu-r32,small_mu,32,linear,0.5357142857142857,40
sonar,0,MY-small_mu,MY-small_mu-r64,small_mu,64,linear,0.5714285714285714,40
sonar,0,KFDA,KFDA-1D,kfda,1,rbf,0.6071428571428571,40
sonar,0,MY-large_mu,MY-large_mu-r1,large_mu,1,rbf,0.7976190476190477,40
sonar,0,MY-large_mu,MY-large_mu-r2,large_mu,2,rbf,0.8095238095238095,40
sonar,0,MY-large_mu,MY-large_mu-r3,large_mu,3,rbf,0.7738095238095238,40
sonar,0,MY-large_mu,MY-large_mu-r4,large_mu,4,rbf,0.7380952380952381,40
sonar,0,MY-large_mu,MY-large_mu-r5,large_mu,5,rbf,0.8095238095238095,40
sonar,0,MY-large_mu,MY-large_mu-r6,large_mu,6,rbf,0.8095238095238095,40
sonar,0,MY-large_mu,MY-large_mu-r32,large_mu,32,rbf,0.8452380952380952,40
sonar,0,MY-large_mu,MY-large_mu-r64,large_mu,64,rbf,0.7142857142857143,40
sonar,0,MY-small_mu,MY-small_mu-r1,small_mu,1,rbf,0.6547619047619048,40
sonar,0,MY-small_mu,MY-small_mu-r2,small_mu,2,rbf,0.6190476190476191,40
sonar,0,MY-small_mu,MY-small_mu-r3,small_mu,3,rbf,0.6428571428571429,40
sonar,0,MY-small_mu,MY-small_mu-r4,small_mu,4,rbf,0.6904761904761905,40
sonar,0,MY-small_mu,MY-small_mu-r5,small_mu,5,rbf,0.6666666666666666,40
sonar,0,MY-small_mu,MY-small_mu-r6,small_mu,6,rbf,0.7142857142857143,40
sonar,0,MY-small_mu,MY-small_mu-r32,small_mu,32,rbf,0.7142857142857143,40
sonar,0,MY-small_mu,MY-small_mu-r64,small_mu,64,rbf,0.6309523809523809,40
sonar,0,KFDA,KFDA-1D,kfda,1,laplacian,0.6547619047619048,40
sonar,0,MY-large_mu,MY-large_mu-r1,large_mu,1,laplacian,0.7976190476190477,40
sonar,0,MY-large_mu,MY-large_mu-r2,large_mu,2,laplacian,0.7857142857142857,40
sonar,0,MY-large_mu,MY-large_mu-r3,large_mu,3,laplacian,0.7976190476190477,40
sonar,0,MY-large_mu,MY-large_mu-r4,large_mu,4,laplacian,0.8095238095238095,40
sonar,0,MY-large_mu,MY-large_mu-r5,large_mu,5,laplacian,0.8690476190476191,40
sonar,0,MY-large_mu,MY-large_mu-r6,large_mu,6,laplacian,0.8214285714285714,40
sonar,0,MY-large_mu,MY-large_mu-r32,large_mu,32,laplacian,0.9047619047619048,40
sonar,0,MY-large_mu,MY-large_mu-r64,large_mu,64,laplacian,0.6904761904761905,40
sonar,0,MY-small_mu,MY-small_mu-r1,small_mu,1,laplacian,0.6547619047619048,40
sonar,0,MY-small_mu,MY-small_mu-r2,small_mu,2,laplacian,0.6904761904761905,40
sonar,0,MY-small_mu,MY-small_mu-r3,small_mu,3,laplacian,0.6309523809523809,40
sonar,0,MY-small_mu,MY-small_mu-r4,small_mu,4,laplacian,0.6547619047619048,40
sonar,0,MY-small_mu,MY-small_mu-r5,small_mu,5,laplacian,0.75,40
sonar,0,MY-small_mu,MY-small_mu-r6,small_mu,6,laplacian,0.7380952380952381,40
sonar,0,MY-small_mu,MY-small_mu-r32,small_mu,32,laplacian,0.5119047619047619,40
sonar,0,MY-small_mu,MY-small_mu-r64,small_mu,64,laplacian,0.5952380952380952,40
splice,0,KFDA,KFDA-1D,kfda,1,linear,0.9177115987460815,46
splice,0,MY-large_mu,MY-large_mu-r1,large_mu,1,linear,0.9318181818181818,46
splice,0,MY-large_mu,MY-large_mu-r2,large_mu,2,linear,0.9255485893416928,46
splice,0,MY-large_mu,MY-large_mu-r3,large_mu,3,linear,0.927115987460815,46
splice,0,MY-large_mu,MY-large_mu-r4,large_mu,4,linear,0.9263322884012539,46
splice,0,MY-large_mu,MY-large_mu-r5,large_mu,5,linear,0.9247648902821317,46
splice,0,MY-large_mu,MY-large_mu-r6,large_mu,6,linear,0.9263322884012539,46
splice,0,MY-large_mu,MY-large_mu-r32,large_mu,32,linear,0.9435736677115988,46
splice,0,MY-large_mu,MY-large_mu-r64,large_mu,64,linear,0.9521943573667712,46
splice,0,MY-small_mu,MY-small_mu-r1,small_mu,1,linear,0.7594043887147336,46
splice,0,MY-small_mu,MY-small_mu-r2,small_mu,2,linear,0.7594043887147336,46
splice,0,MY-small_mu,MY-small_mu-r3,small_mu,3,linear,0.7594043887147336,46
splice,0,MY-small_mu,MY-small_mu-r4,small_mu,4,linear,0.762539184952978,46
splice,0,MY-small_mu,MY-small_mu-r5,small_mu,5,linear,0.7547021943573667,46
splice,0,MY-small_mu,MY-small_mu-r6,small_mu,6,linear,0.7695924764890282,46
splice,0,MY-small_mu,MY-small_mu-r32,small_mu,32,linear,0.7970219435736677,46
splice,0,MY-small_mu,MY-small_mu-r64,small_mu,64,linear,0.8753918495297806,46
splice,0,KFDA,KFDA-1D,kfda,1,rbf,0.9310344827586207,46
splice,0,MY-large_mu,MY-large_mu-r1,large_mu,1,rbf,0.9420062695924765,46
splice,0,MY-large_mu,MY-large_mu-r2,large_mu,2,rbf,0.9420062695924765,46
splice,0,MY-large_mu,MY-large_mu-r3,large_mu,3,rbf,0.9388714733542319,46
splice,0,MY-large_mu,MY-large_mu-r4,large_mu,4,rbf,0.9396551724137931,46
splice,0,MY-large_mu,MY-large_mu-r5,large_mu,5,rbf,0.9404388714733543,46
splice,0,MY-large_mu,MY-large_mu-r6,large_mu,6,rbf,0.9404388714733543,46
splice,0,MY-large_mu,MY-large_mu-r32,large_mu,32,rbf,0.9490595611285266,46
splice,0,MY-large_mu,MY-large_mu-r64,large_mu,64,rbf,0.957680250783699,46
splice,0,MY-small_mu,MY-small_mu-r1,small_mu,1,rbf,0.7594043887147336,46
splice,0,MY-small_mu,MY-small_mu-r2,small_mu,2,rbf,0.7594043887147336,46
splice,0,MY-small_mu,MY-small_mu-r3,small_mu,3,rbf,0.7594043887147336,46
splice,0,MY-small_mu,MY-small_mu-r4,small_mu,4,rbf,0.7594043887147336,46
splice,0,MY-small_mu,MY-small_mu-r5,small_mu,5,rbf,0.7382445141065831,46
splice,0,MY-small_mu,MY-small_mu-r6,small_mu,6,rbf,0.7507836990595611,46
splice,0,MY-small_mu,MY-small_mu-r32,small_mu,32,rbf,0.817398119122257,46
splice,0,MY-small_mu,MY-small_mu-r64,small_mu,64,rbf,0.8644200626959248,46
splice,0,KFDA,KFDA-1D,kfda,1,laplacian,0.9310344827586207,46
splice,0,MY-large_mu,MY-large_mu-r1,large_mu,1,laplacian,0.9412225705329154,46
splice,0,MY-large_mu,MY-large_mu-r2,large_mu,2,laplacian,0.9404388714733543,46
splice,0,MY-large_mu,MY-large_mu-r3,large_mu,3,laplacian,0.9404388714733543,46
splice,0,MY-large_mu,MY-large_mu-r4,large_mu,4,laplacian,0.9388714733542319,46
splice,0,MY-large_mu,MY-large_mu-r5,large_mu,5,laplacian,0.9412225705329154,46
splice,0,MY-large_mu,MY-large_mu-r6,large_mu,6,laplacian,0.9427899686520376,46
splice,0,MY-large_mu,MY-large_mu-r32,large_mu,32,laplacian,0.945141065830721,46
splice,0,MY-large_mu,MY-large_mu-r64,large_mu,64,laplacian,0.9545454545454546,46
splice,0,MY-small_mu,MY-small_mu-r1,small_mu,1,laplacian,0.7594043887147336,46
splice,0,MY-small_mu,MY-small_mu-r2,small_mu,2,laplacian,0.7594043887147336,46
splice,0,MY-small_mu,MY-small_mu-r3,small_mu,3,laplacian,0.7586206896551724,46
splice,0,MY-small_mu,MY-small_mu-r4,small_mu,4,laplacian,0.768025078369906,46
splice,0,MY-small_mu,MY-small_mu-r5,small_mu,5,laplacian,0.7782131661442007,46
splice,0,MY-small_mu,MY-small_mu-r6,small_mu,6,laplacian,0.7727272727272727,46
splice,0,MY-small_mu,MY-small_mu-r32,small_mu,32,laplacian,0.8095611285266457,46
splice,0,MY-small_mu,MY-small_mu-r64,small_mu,64,laplacian,0.8550156739811913,46
Titanic,0,KFDA,KFDA-1D,kfda,1,linear,0.9122137404580153,40945
Titanic,0,MY-large_mu,MY-large_mu-r1,large_mu,1,linear,0.9026717557251909,40945
Titanic,0,MY-large_mu,MY-large_mu-r2,large_mu,2,linear,0.9026717557251909,40945
Titanic,0,MY-large_mu,MY-large_mu-r3,large_mu,3,linear,0.9083969465648855,40945
Titanic,0,MY-large_mu,MY-large_mu-r4,large_mu,4,linear,0.9103053435114504,40945
Titanic,0,MY-large_mu,MY-large_mu-r5,large_mu,5,linear,0.9122137404580153,40945
Titanic,0,MY-large_mu,MY-large_mu-r6,large_mu,6,linear,0.9103053435114504,40945
Titanic,0,MY-large_mu,MY-large_mu-r32,large_mu,32,linear,0.9141221374045801,40945
Titanic,0,MY-large_mu,MY-large_mu-r64,large_mu,64,linear,0.9179389312977099,40945
Titanic,0,MY-small_mu,MY-small_mu-r1,small_mu,1,linear,0.6183206106870229,40945
Titanic,0,MY-small_mu,MY-small_mu-r2,small_mu,2,linear,0.6889312977099237,40945
Titanic,0,MY-small_mu,MY-small_mu-r3,small_mu,3,linear,0.7404580152671756,40945
Titanic,0,MY-small_mu,MY-small_mu-r4,small_mu,4,linear,0.7709923664122137,40945
Titanic,0,MY-small_mu,MY-small_mu-r5,small_mu,5,linear,0.7824427480916031,40945
Titanic,0,MY-small_mu,MY-small_mu-r6,small_mu,6,linear,0.7843511450381679,40945
Titanic,0,MY-small_mu,MY-small_mu-r32,small_mu,32,linear,0.8549618320610687,40945
Titanic,0,MY-small_mu,MY-small_mu-r64,small_mu,64,linear,0.8625954198473282,40945
Titanic,0,KFDA,KFDA-1D,kfda,1,rbf,0.3549618320610687,40945
Titanic,0,MY-large_mu,MY-large_mu-r1,large_mu,1,rbf,0.6526717557251909,40945
Titanic,0,MY-large_mu,MY-large_mu-r2,large_mu,2,rbf,0.7251908396946565,40945
Titanic,0,MY-large_mu,MY-large_mu-r3,large_mu,3,rbf,0.7118320610687023,40945
Titanic,0,MY-large_mu,MY-large_mu-r4,large_mu,4,rbf,0.7099236641221374,40945
Titanic,0,MY-large_mu,MY-large_mu-r5,large_mu,5,rbf,0.7118320610687023,40945
Titanic,0,MY-large_mu,MY-large_mu-r6,large_mu,6,rbf,0.7118320610687023,40945
Titanic,0,MY-large_mu,MY-large_mu-r32,large_mu,32,rbf,0.6946564885496184,40945
Titanic,0,MY-large_mu,MY-large_mu-r64,large_mu,64,rbf,0.8835877862595419,40945
Titanic,0,MY-small_mu,MY-small_mu-r1,small_mu,1,rbf,0.6183206106870229,40945
Titanic,0,MY-small_mu,MY-small_mu-r2,small_mu,2,rbf,0.6183206106870229,40945
Titanic,0,MY-small_mu,MY-small_mu-r3,small_mu,3,rbf,0.6183206106870229,40945
Titanic,0,MY-small_mu,MY-small_mu-r4,small_mu,4,rbf,0.6183206106870229,40945
Titanic,0,MY-small_mu,MY-small_mu-r5,small_mu,5,rbf,0.6240458015267175,40945
Titanic,0,MY-small_mu,MY-small_mu-r6,small_mu,6,rbf,0.6240458015267175,40945
Titanic,0,MY-small_mu,MY-small_mu-r32,small_mu,32,rbf,0.6526717557251909,40945
Titanic,0,MY-small_mu,MY-small_mu-r64,small_mu,64,rbf,0.6469465648854962,40945
Titanic,0,KFDA,KFDA-1D,kfda,1,laplacian,0.9026717557251909,40945
Titanic,0,MY-large_mu,MY-large_mu-r1,large_mu,1,laplacian,0.9446564885496184,40945
Titanic,0,MY-large_mu,MY-large_mu-r2,large_mu,2,laplacian,0.9484732824427481,40945
Titanic,0,MY-large_mu,MY-large_mu-r3,large_mu,3,laplacian,0.950381679389313,40945
Titanic,0,MY-large_mu,MY-large_mu-r4,large_mu,4,laplacian,0.9446564885496184,40945
Titanic,0,MY-large_mu,MY-large_mu-r5,large_mu,5,laplacian,0.9484732824427481,40945
Titanic,0,MY-large_mu,MY-large_mu-r6,large_mu,6,laplacian,0.950381679389313,40945
Titanic,0,MY-large_mu,MY-large_mu-r32,large_mu,32,laplacian,0.9446564885496184,40945
Titanic,0,MY-large_mu,MY-large_mu-r64,large_mu,64,laplacian,0.950381679389313,40945
Titanic,0,MY-small_mu,MY-small_mu-r1,small_mu,1,laplacian,0.6183206106870229,40945
Titanic,0,MY-small_mu,MY-small_mu-r2,small_mu,2,laplacian,0.6603053435114504,40945
Titanic,0,MY-small_mu,MY-small_mu-r3,small_mu,3,laplacian,0.6965648854961832,40945
Titanic,0,MY-small_mu,MY-small_mu-r4,small_mu,4,laplacian,0.6984732824427481,40945
Titanic,0,MY-small_mu,MY-small_mu-r5,small_mu,5,laplacian,0.7519083969465649,40945
Titanic,0,MY-small_mu,MY-small_mu-r6,small_mu,6,laplacian,0.7404580152671756,40945
Titanic,0,MY-small_mu,MY-small_mu-r32,small_mu,32,laplacian,0.898854961832061,40945
Titanic,0,MY-small_mu,MY-small_mu-r64,small_mu,64,laplacian,0.8931297709923665,40945
waveform-5000,0,KFDA,KFDA-1D,kfda,1,linear,0.834,60
waveform-5000,0,MY-large_mu,MY-large_mu-r1,large_mu,1,linear,0.843,60
waveform-5000,0,MY-large_mu,MY-large_mu-r2,large_mu,2,linear,0.8375,60
waveform-5000,0,MY-large_mu,MY-large_mu-r3,large_mu,3,linear,0.8405,60
waveform-5000,0,MY-large_mu,MY-large_mu-r4,large_mu,4,linear,0.8345,60
waveform-5000,0,MY-large_mu,MY-large_mu-r5,large_mu,5,linear,0.837,60
waveform-5000,0,MY-large_mu,MY-large_mu-r6,large_mu,6,linear,0.8395,60
waveform-5000,0,MY-large_mu,MY-large_mu-r32,large_mu,32,linear,0.849,60
waveform-5000,0,MY-large_mu,MY-large_mu-r64,large_mu,64,linear,0.8495,60
waveform-5000,0,MY-small_mu,MY-small_mu-r1,small_mu,1,linear,0.6615,60
waveform-5000,0,MY-small_mu,MY-small_mu-r2,small_mu,2,linear,0.6615,60
waveform-5000,0,MY-small_mu,MY-small_mu-r3,small_mu,3,linear,0.6615,60
waveform-5000,0,MY-small_mu,MY-small_mu-r4,small_mu,4,linear,0.6615,60
waveform-5000,0,MY-small_mu,MY-small_mu-r5,small_mu,5,linear,0.6615,60
waveform-5000,0,MY-small_mu,MY-small_mu-r6,small_mu,6,linear,0.6615,60
waveform-5000,0,MY-small_mu,MY-small_mu-r32,small_mu,32,linear,0.7295,60
waveform-5000,0,MY-small_mu,MY-small_mu-r64,small_mu,64,linear,0.795,60
waveform-5000,0,KFDA,KFDA-1D,kfda,1,rbf,0.822,60
waveform-5000,0,MY-large_mu,MY-large_mu-r1,large_mu,1,rbf,0.843,60
waveform-5000,0,MY-large_mu,MY-large_mu-r2,large_mu,2,rbf,0.8405,60
waveform-5000,0,MY-large_mu,MY-large_mu-r3,large_mu,3,rbf,0.8355,60
waveform-5000,0,MY-large_mu,MY-large_mu-r4,large_mu,4,rbf,0.8405,60
waveform-5000,0,MY-large_mu,MY-large_mu-r5,large_mu,5,rbf,0.8435,60
waveform-5000,0,MY-large_mu,MY-large_mu-r6,large_mu,6,rbf,0.841,60
waveform-5000,0,MY-large_mu,MY-large_mu-r32,large_mu,32,rbf,0.85,60
waveform-5000,0,MY-large_mu,MY-large_mu-r64,large_mu,64,rbf,0.872,60
waveform-5000,0,MY-small_mu,MY-small_mu-r1,small_mu,1,rbf,0.6615,60
waveform-5000,0,MY-small_mu,MY-small_mu-r2,small_mu,2,rbf,0.6615,60
waveform-5000,0,MY-small_mu,MY-small_mu-r3,small_mu,3,rbf,0.6665,60
waveform-5000,0,MY-small_mu,MY-small_mu-r4,small_mu,4,rbf,0.6705,60
waveform-5000,0,MY-small_mu,MY-small_mu-r5,small_mu,5,rbf,0.674,60
waveform-5000,0,MY-small_mu,MY-small_mu-r6,small_mu,6,rbf,0.6835,60
