regime,rep,kernel,true_mean_gap_input,emp_mean_gap_input,true_cov_gap_input,emp_cov_gap_input,cov_gap_error_input,cov0_error_input,cov1_error_input,ref_D_mu_feature,emp_D_mu_feature,ref_D_sigma_feature,emp_D_sigma_feature,cov_gap_error_feature,cov0_error_feature,cov1_error_feature
diff_mean_diff_covariance,1,polynomial,0.9000000000000001,0.9,5.7275360341928305,6.813278800751566,3.578730668770292,2.4082581657395994,2.876139595459717,0.333837214744701,0.360368592439466,0.48750393389585345,0.5849947272336719,0.37549861093477993,0.24515710113025949,0.29861756484930646
diff_mean_diff_covariance,1,sigmoid,0.9000000000000001,0.9,5.7275360341928305,6.813278800751566,3.578730668770292,2.4082581657395994,2.876139595459717,0.17082726011386876,0.17061439989774077,0.18539680955274318,0.2046468432969853,0.10450970629539504,0.07691623719306712,0.0791470065563322
diff_mean_diff_covariance,2,linear,0.9000000000000001,0.9,5.7275360341928305,7.263876253344584,3.7146157294849558,2.432968412871012,2.639791885229391,0.9000000000000002,0.9000000000000001,5.7868234718909,7.230858634011201,4.043871730337123,2.6468377231189817,2.7405110656509626
diff_mean_diff_covariance,2,rbf,0.9000000000000001,0.9,5.7275360341928305,7.263876253344584,3.7146157294849558,2.432968412871012,2.639791885229391,0.14462385307279954,0.15968897873908994,0.07735775801211142,0.10631143930020377,0.08368046671671203,0.0606951519011394,0.05686182381891889
diff_mean_diff_covariance,2,laplacian,0.9000000000000001,0.9,5.7275360341928305,7.263876253344584,3.7146157294849558,2.432968412871012,2.639791885229391,0.09995062622912529,0.11752701820587722,0.04788378478448926,0.07433686256406027,0.06448195630149328,0.045533930512568176,0.04497716842234433
diff_mean_diff_covariance,2,polynomial,0.9000000000000001,0.9,5.7275360341928305,7.263876253344584,3.7146157294849558,2.432968412871012,2.639791885229391,0.333837214744701,0.37298514237388725,0.48750393389585345,0.6291363308363447,0.3805864375047284,0.23958827332548677,0.2758108622552339
diff_mean_diff_covariance,2,sigmoid,0.9000000000000001,0.9,5.7275360341928305,7.263876253344584,3.7146157294849558,2.432968412871012,2.639791885229391,0.17082726011386876,0.17020016075299896,0.18539680955274318,0.21398709059884058,0.09752698553459792,0.06852495701001546,0.05286312090421401
diff_mean_tiny_covariance_gap,0,linear,1.0999999999999999,1.0999999999999999,0.7308708898522757,4.655947402212187,4.6088020938328995,3.2029340476190584,3.0559180219775226,1.1,1.1,1.5588185638275625,4.626847730948363,4.795706823935552,3.374226062106158,3.0442178552236503
diff_mean_tiny_covariance_gap,0,rbf,1.0999999999999999,1.0999999999999999,0.7308708898522757,4.655947402212187,4.6088020938328995,3.2029340476190584,3.0559180219775226,0.11773124894766768,0.15295843272554407,0.04203378436156178,0.10068737483967827,0.10227057742049375,0.0720550681977007,0.07080933902348928
diff_mean_tiny_covariance_gap,0,laplacian,1.0999999999999999,1.0999999999999999,0.7308708898522757,4.655947402212187,4.6088020938328995,3.2029340476190584,3.0559180219775226,0.0963204671879872,0.12171432256255446,0.027650431183037477,0.07320231159889762,0.07598957353225656,0.05375556117405425,0.05224312855349425
diff_mean_tiny_covariance_gap,0,polynomial,1.0999999999999999,1.0999999999999999,0.7308708898522757,4.655947402212187,4.6088020938328995,3.2029340476190584,3.0559180219775226,0.3100582669316944,0.3520096076473926,0.20032207591928325,0.434896929689707,0.42689271806485873,0.3039122966021328,0.2764366108070503
diff_mean_tiny_covariance_gap,0,sigmoid,1.0999999999999999,1.0999999999999999,0.7308708898522757,4.655947402212187,4.6088020938328995,3.2029340476190584,3.0559180219775226,0.20919251572666908,0.20902724908837556,0.044137608325003796,0.1308269672527035,0.13389876701666287,0.09026791952007426,0.08137275823229671
diff_mean_tiny_covariance_gap,1,linear,1.0999999999999999,1.1,0.7308708898522757,4.238763207272534,4.098657325581828,2.7507506884062436,2.8226551382993152,1.1,1.1,1.5588185638275625,4.212270937227079,4.474768794980919,2.9786466299819945,3.0141644835094494
diff_mean_tiny_covariance_gap,1,rbf,1.0999999999999999,1.1,0.7308708898522757,4.238763207272534,4.098657325581828,2.7507506884062436,2.8226551382993152,0.11773124894766768,0.15411150981100413,0.04203378436156178,0.09820285222862193,0.09975087724265098,0.06972795374392143,0.0690708686314981
diff_mean_tiny_covariance_gap,1,laplacian,1.0999999999999999,1.1,0.7308708898522757,4.238763207272534,4.098657325581828,2.7507506884062436,2.8226551382993152,0.0963204671879872,0.12733294802143869,0.027650431183037477,0.07098018681442482,0.07390788111945418,0.05134575044899135,0.05189704940546311
diff_mean_tiny_covariance_gap,1,polynomial,1.0999999999999999,1.1,0.7308708898522757,4.238763207272534,4.098657325581828,2.7507506884062436,2.8226551382993152,0.3100582669316944,0.3443075055140375,0.20032207591928325,0.3913226663592078,0.39145906331006197,0.2595321246251807,0.27209410165000797
diff_mean_tiny_covariance_gap,1,sigmoid,1.0999999999999999,1.1,0.7308708898522757,4.238763207272534,4.098657325581828,2.7507506884062436,2.8226551382993152,0.20919251572666908,0.20985326032713775,0.044137608325003796,0.12156479843855324,0.12886924918717438,0.08541327135273268,0.0811938437105077
diff_mean_tiny_covariance_gap,2,linear,1.0999999999999999,1.0999999999999996,0.7308708898522757,4.016004865346073,3.9806337243650876,3.075415458370567,2.8919294422860666,1.1,1.1,1.5588185638275625,3.9909048349376612,4.182812013022868,3.217204154983081,2.9325901258287943
diff_mean_tiny_covariance_gap,2,rbf,1.0999999999999999,1.0999999999999996,0.7308708898522757,4.016004865346073,3.9806337243650876,3.075415458370567,2.8919294422860666,0.11773124894766768,0.14415130519442815,0.04203378436156178,0.0966105650243316,0.0979043726823951,0.0717281825239607,0.06939387350574076
diff_mean_tiny_covariance_gap,2,laplacian,1.0999999999999999,1.0999999999999996,0.7308708898522757,4.016004865346073,3.9806337243650876,3.075415458370567,2.8919294422860666,0.0963204671879872,0.11882799080150745,0.027650431183037477,0.07097477987805469,0.07339376908455704,0.053622668122933315,0.05138226977444564
diff_mean_tiny_covariance_gap,2,polynomial,1.0999999999999999,1.0999999999999996,0.7308708898522757,4.016004865346073,3.9806337243650876,3.075415458370567,2.8919294422860666,0.3100582669316944,0.3404262360471695,0.20032207591928325,0.39753586458093626,0.38689971555658165,0.28806266675616427,0.27684951992094825
diff_mean_tiny_covariance_gap,2,sigmoid,1.0999999999999999,1.0999999999999996,0.7308708898522757,4.016004865346073,3.9806337243650876,3.075415458370567,2.8919294422860666,0.20919251572666908,0.20878315226426847,0.044137608325003796,0.10210354138793615,0.10720004075827469,0.08656082232021957,0.07296302256976092
