index,regime,variant,r,stage1_kernel,stage1_label,mean,std,n_repeats
68,oldstyle_same_mean_scale_gap,MY-large_mu,4,rbf,rbf(gamma=0.0026367644557403077),0.9992,,1
69,oldstyle_same_mean_scale_gap,MY-large_mu,4,sigmoid,"sigmoid(coef0=0.0, gamma=0.0026367644557403077)",0.6664,,1
70,oldstyle_same_mean_scale_gap,MY-small_mu,1,laplacian,laplacian(gamma=0.0026367644557403077),0.595,,1
71,oldstyle_same_mean_scale_gap,MY-small_mu,1,linear,linear,0.4848,,1
72,oldstyle_same_mean_scale_gap,MY-small_mu,1,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0026367644557403077)",0.4962,,1
73,oldstyle_same_mean_scale_gap,MY-small_mu,1,rbf,rbf(gamma=0.0026367644557403077),0.6692,,1
74,oldstyle_same_mean_scale_gap,MY-small_mu,1,sigmoid,"sigmoid(coef0=0.0, gamma=0.0026367644557403077)",0.5,,1
75,oldstyle_same_mean_scale_gap,MY-small_mu,2,laplacian,laplacian(gamma=0.0026367644557403077),0.6028,,1
76,oldstyle_same_mean_scale_gap,MY-small_mu,2,linear,linear,0.482,,1
77,oldstyle_same_mean_scale_gap,MY-small_mu,2,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0026367644557403077)",0.4884,,1
78,oldstyle_same_mean_scale_gap,MY-small_mu,2,rbf,rbf(gamma=0.0026367644557403077),0.7612,,1
79,oldstyle_same_mean_scale_gap,MY-small_mu,2,sigmoid,"sigmoid(coef0=0.0, gamma=0.0026367644557403077)",0.486,,1
80,oldstyle_same_mean_scale_gap,MY-small_mu,3,laplacian,laplacian(gamma=0.0026367644557403077),0.6408,,1
81,oldstyle_same_mean_scale_gap,MY-small_mu,3,linear,linear,0.5044,,1
82,oldstyle_same_mean_scale_gap,MY-small_mu,3,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0026367644557403077)",0.5034,,1
83,oldstyle_same_mean_scale_gap,MY-small_mu,3,rbf,rbf(gamma=0.0026367644557403077),0.8232,,1
84,oldstyle_same_mean_scale_gap,MY-small_mu,3,sigmoid,"sigmoid(coef0=0.0, gamma=0.0026367644557403077)",0.5412,,1
85,oldstyle_same_mean_scale_gap,MY-small_mu,4,laplacian,laplacian(gamma=0.0026367644557403077),0.6852,,1
86,oldstyle_same_mean_scale_gap,MY-small_mu,4,linear,linear,0.5208,,1
87,oldstyle_same_mean_scale_gap,MY-small_mu,4,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0026367644557403077)",0.5084,,1
88,oldstyle_same_mean_scale_gap,MY-small_mu,4,rbf,rbf(gamma=0.0026367644557403077),0.8532,,1
89,oldstyle_same_mean_scale_gap,MY-small_mu,4,sigmoid,"sigmoid(coef0=0.0, gamma=0.0026367644557403077)",0.5964,,1
