pair,class0,class1,rep,family,r,stage1_kernel,acc,probe_C
airplane vs bird,airplane,bird,2,small_mu,6,linear,0.6,0.1
airplane vs bird,airplane,bird,2,small_mu,8,linear,0.5975,0.1
airplane vs bird,airplane,bird,2,small_mu,10,linear,0.59,1.0
airplane vs bird,airplane,bird,2,small_mu,16,linear,0.635,1.0
airplane vs bird,airplane,bird,2,small_mu,24,linear,0.6425,0.1
airplane vs bird,airplane,bird,2,small_mu,1,rbf,0.5525,0.1
airplane vs bird,airplane,bird,2,small_mu,2,rbf,0.5875,0.1
airplane vs bird,airplane,bird,2,small_mu,4,rbf,0.575,0.1
airplane vs bird,airplane,bird,2,small_mu,6,rbf,0.645,1.0
airplane vs bird,airplane,bird,2,small_mu,8,rbf,0.66,1.0
airplane vs bird,airplane,bird,2,small_mu,10,rbf,0.685,0.1
airplane vs bird,airplane,bird,2,small_mu,16,rbf,0.695,0.1
airplane vs bird,airplane,bird,2,small_mu,24,rbf,0.715,0.1
airplane vs bird,airplane,bird,2,small_mu,1,laplacian,0.54,0.1
airplane vs bird,airplane,bird,2,small_mu,2,laplacian,0.54,0.1
airplane vs bird,airplane,bird,2,small_mu,4,laplacian,0.55,0.1
airplane vs bird,airplane,bird,2,small_mu,6,laplacian,0.585,1.0
airplane vs bird,airplane,bird,2,small_mu,8,laplacian,0.615,0.1
airplane vs bird,airplane,bird,2,small_mu,10,laplacian,0.6125,10.0
airplane vs bird,airplane,bird,2,small_mu,16,laplacian,0.615,0.1
airplane vs bird,airplane,bird,2,small_mu,24,laplacian,0.72,0.1
airplane vs bird,airplane,bird,2,small_mu,1,polynomial,0.6075,0.1
airplane vs bird,airplane,bird,2,small_mu,2,polynomial,0.5925,0.1
airplane vs bird,airplane,bird,2,small_mu,4,polynomial,0.535,0.1
airplane vs bird,airplane,bird,2,small_mu,6,polynomial,0.62,1.0
airplane vs bird,airplane,bird,2,small_mu,8,polynomial,0.59,0.1
airplane vs bird,airplane,bird,2,small_mu,10,polynomial,0.5825,0.1
airplane vs bird,airplane,bird,2,small_mu,16,polynomial,0.5775,0.1
airplane vs bird,airplane,bird,2,small_mu,24,polynomial,0.6275,0.1
airplane vs bird,airplane,bird,2,small_mu,1,sigmoid,0.5375,0.1
airplane vs bird,airplane,bird,2,small_mu,2,sigmoid,0.5725,1.0
airplane vs bird,airplane,bird,2,small_mu,4,sigmoid,0.5775,1.0
airplane vs bird,airplane,bird,2,small_mu,6,sigmoid,0.605,0.1
airplane vs bird,airplane,bird,2,small_mu,8,sigmoid,0.6225,10.0
airplane vs bird,airplane,bird,2,small_mu,10,sigmoid,0.625,1.0
airplane vs bird,airplane,bird,2,small_mu,16,sigmoid,0.6825,10.0
airplane vs bird,airplane,bird,2,small_mu,24,sigmoid,0.6675,0.1
airplane vs ship,airplane,ship,0,large_mu,1,linear,0.8575,10.0
airplane vs ship,airplane,ship,0,large_mu,2,linear,0.8575,0.1
airplane vs ship,airplane,ship,0,large_mu,4,linear,0.845,10.0
airplane vs ship,airplane,ship,0,large_mu,6,linear,0.8325,10.0
airplane vs ship,airplane,ship,0,large_mu,8,linear,0.845,10.0
airplane vs ship,airplane,ship,0,large_mu,10,linear,0.845,1.0
airplane vs ship,airplane,ship,0,large_mu,16,linear,0.845,10.0
airplane vs ship,airplane,ship,0,large_mu,24,linear,0.85,10.0
airplane vs ship,airplane,ship,0,large_mu,1,rbf,0.8925,0.1
airplane vs ship,airplane,ship,0,large_mu,2,rbf,0.8925,1.0
airplane vs ship,airplane,ship,0,large_mu,4,rbf,0.89,0.1
airplane vs ship,airplane,ship,0,large_mu,6,rbf,0.9,10.0
airplane vs ship,airplane,ship,0,large_mu,8,rbf,0.905,0.1
airplane vs ship,airplane,ship,0,large_mu,10,rbf,0.9,1.0
airplane vs ship,airplane,ship,0,large_mu,16,rbf,0.9075,0.1
airplane vs ship,airplane,ship,0,large_mu,24,rbf,0.915,1.0
airplane vs ship,airplane,ship,0,large_mu,1,laplacian,0.9075,0.1
airplane vs ship,airplane,ship,0,large_mu,2,laplacian,0.9075,0.1
airplane vs ship,airplane,ship,0,large_mu,4,laplacian,0.9075,0.1
airplane vs ship,airplane,ship,0,large_mu,6,laplacian,0.91,0.1
