pair,class0,class1,rep,family,r,stage1_kernel,acc,probe_C
cat vs dog,cat,dog,0,small_mu,8,rbf,0.6425,0.1
cat vs dog,cat,dog,0,small_mu,10,rbf,0.6575,10.0
cat vs dog,cat,dog,0,small_mu,16,rbf,0.695,0.1
cat vs dog,cat,dog,0,small_mu,24,rbf,0.7075,0.1
cat vs dog,cat,dog,1,large_mu,1,laplacian,0.8175,0.1
cat vs dog,cat,dog,1,large_mu,2,laplacian,0.8125,1.0
cat vs dog,cat,dog,1,large_mu,4,laplacian,0.81,0.1
cat vs dog,cat,dog,1,large_mu,6,laplacian,0.8225,10.0
cat vs dog,cat,dog,1,large_mu,8,laplacian,0.8225,0.1
cat vs dog,cat,dog,1,large_mu,10,laplacian,0.82,1.0
cat vs dog,cat,dog,1,large_mu,16,laplacian,0.83,0.1
cat vs dog,cat,dog,1,large_mu,24,laplacian,0.835,0.1
cat vs dog,cat,dog,1,small_mu,1,rbf,0.5775,0.1
cat vs dog,cat,dog,1,small_mu,2,rbf,0.58,0.1
cat vs dog,cat,dog,1,small_mu,4,rbf,0.5875,1.0
cat vs dog,cat,dog,1,small_mu,6,laplacian,0.6,0.1
cat vs dog,cat,dog,1,small_mu,8,laplacian,0.635,0.1
cat vs dog,cat,dog,1,small_mu,10,laplacian,0.6175,0.1
cat vs dog,cat,dog,1,small_mu,16,rbf,0.6875,1.0
cat vs dog,cat,dog,1,small_mu,24,laplacian,0.68,10.0
cat vs dog,cat,dog,2,large_mu,1,laplacian,0.84,0.1
cat vs dog,cat,dog,2,large_mu,2,laplacian,0.84,10.0
cat vs dog,cat,dog,2,large_mu,4,laplacian,0.8475,10.0
cat vs dog,cat,dog,2,large_mu,6,laplacian,0.845,1.0
cat vs dog,cat,dog,2,large_mu,8,laplacian,0.835,0.1
cat vs dog,cat,dog,2,large_mu,10,laplacian,0.835,0.1
cat vs dog,cat,dog,2,large_mu,16,rbf,0.8275,0.1
cat vs dog,cat,dog,2,large_mu,24,laplacian,0.84,0.1
cat vs dog,cat,dog,2,small_mu,1,sigmoid,0.4925,0.1
cat vs dog,cat,dog,2,small_mu,2,rbf,0.55,0.1
cat vs dog,cat,dog,2,small_mu,4,rbf,0.585,1.0
cat vs dog,cat,dog,2,small_mu,6,rbf,0.59,0.1
cat vs dog,cat,dog,2,small_mu,8,laplacian,0.6125,0.1
cat vs dog,cat,dog,2,small_mu,10,rbf,0.615,0.1
cat vs dog,cat,dog,2,small_mu,16,rbf,0.6225,0.1
cat vs dog,cat,dog,2,small_mu,24,rbf,0.665,1.0
deer vs horse,deer,horse,0,large_mu,1,polynomial,0.8275,10.0
deer vs horse,deer,horse,0,large_mu,2,polynomial,0.8275,1.0
deer vs horse,deer,horse,0,large_mu,4,polynomial,0.83,10.0
deer vs horse,deer,horse,0,large_mu,6,polynomial,0.84,1.0
deer vs horse,deer,horse,0,large_mu,8,polynomial,0.8325,0.1
deer vs horse,deer,horse,0,large_mu,10,polynomial,0.83,0.1
deer vs horse,deer,horse,0,large_mu,16,polynomial,0.84,0.1
deer vs horse,deer,horse,0,large_mu,24,polynomial,0.845,0.1
deer vs horse,deer,horse,0,small_mu,1,sigmoid,0.52,0.1
deer vs horse,deer,horse,0,small_mu,2,polynomial,0.535,0.1
deer vs horse,deer,horse,0,small_mu,4,rbf,0.5875,1.0
deer vs horse,deer,horse,0,small_mu,6,rbf,0.605,0.1
deer vs horse,deer,horse,0,small_mu,8,rbf,0.5825,0.1
deer vs horse,deer,horse,0,small_mu,10,rbf,0.58,10.0
deer vs horse,deer,horse,0,small_mu,16,rbf,0.655,10.0
deer vs horse,deer,horse,0,small_mu,24,rbf,0.67,0.1
deer vs horse,deer,horse,1,large_mu,1,polynomial,0.8375,1.0
deer vs horse,deer,horse,1,large_mu,2,polynomial,0.8375,1.0
deer vs horse,deer,horse,1,large_mu,4,polynomial,0.84,0.1
deer vs horse,deer,horse,1,large_mu,6,polynomial,0.8425,0.1
deer vs horse,deer,horse,1,large_mu,8,polynomial,0.8375,1.0
deer vs horse,deer,horse,1,large_mu,10,polynomial,0.825,1.0
deer vs horse,deer,horse,1,large_mu,16,rbf,0.825,0.1
deer vs horse,deer,horse,1,large_mu,24,polynomial,0.8325,10.0
deer vs horse,deer,horse,1,small_mu,1,rbf,0.585,0.1
deer vs horse,deer,horse,1,small_mu,2,laplacian,0.585,1.0
deer vs horse,deer,horse,1,small_mu,4,laplacian,0.6375,0.1
deer vs horse,deer,horse,1,small_mu,6,rbf,0.635,0.1
deer vs horse,deer,horse,1,small_mu,8,rbf,0.645,0.1
deer vs horse,deer,horse,1,small_mu,10,linear,0.65,10.0
deer vs horse,deer,horse,1,small_mu,16,rbf,0.675,0.1
deer vs horse,deer,horse,1,small_mu,24,rbf,0.685,1.0
deer vs horse,deer,horse,2,large_mu,1,polynomial,0.8225,1.0
deer vs horse,deer,horse,2,large_mu,2,polynomial,0.825,1.0
deer vs horse,deer,horse,2,large_mu,4,polynomial,0.83,1.0
deer vs horse,deer,horse,2,large_mu,6,rbf,0.83,0.1
deer vs horse,deer,horse,2,large_mu,8,rbf,0.8275,1.0
deer vs horse,deer,horse,2,large_mu,10,rbf,0.84,1.0
deer vs horse,deer,horse,2,large_mu,16,rbf,0.83,1.0
deer vs horse,deer,horse,2,large_mu,24,polynomial,0.8375,0.1
deer vs horse,deer,horse,2,small_mu,1,laplacian,0.545,0.1
deer vs horse,deer,horse,2,small_mu,2,polynomial,0.56,0.1
deer vs horse,deer,horse,2,small_mu,4,laplacian,0.5525,1.0
deer vs horse,deer,horse,2,small_mu,6,laplacian,0.57,0.1
deer vs horse,deer,horse,2,small_mu,8,sigmoid,0.595,0.1
deer vs horse,deer,horse,2,small_mu,10,laplacian,0.63,0.1
deer vs horse,deer,horse,2,small_mu,16,laplacian,0.6525,0.1
deer vs horse,deer,horse,2,small_mu,24,laplacian,0.675,1.0
ship vs truck,ship,truck,0,large_mu,1,linear,0.96,1.0
ship vs truck,ship,truck,0,large_mu,2,linear,0.96,1.0
ship vs truck,ship,truck,0,large_mu,4,linear,0.96,1.0
ship vs truck,ship,truck,0,large_mu,6,linear,0.96,1.0
ship vs truck,ship,truck,0,large_mu,8,linear,0.96,0.1
ship vs truck,ship,truck,0,large_mu,10,linear,0.9575,1.0
ship vs truck,ship,truck,0,large_mu,16,linear,0.965,0.1
ship vs truck,ship,truck,0,large_mu,24,linear,0.9625,0.1
ship vs truck,ship,truck,0,small_mu,1,rbf,0.5525,0.1
ship vs truck,ship,truck,0,small_mu,2,polynomial,0.56,0.1
