pair,class0,class1,rep,m,r,stage1_kernel,family,class0_bags,class1_bags,stable_r_limit,coordinate_rank,available_directions,D_mu,D_covariance,heuristic_family,evaluation_protocol,status,status_detail,acc,probe_C
airplane vs bird,airplane,bird,2,4,10,rbf,large_mu,75,75,75,149,24,24585.241258919035,94970.95490219229,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.98,10.0
airplane vs bird,airplane,bird,2,4,16,rbf,large_mu,75,75,75,149,24,24585.241258919035,94970.95490219229,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.98,1.0
airplane vs bird,airplane,bird,2,4,24,rbf,large_mu,75,75,75,149,24,24585.241258919035,94970.95490219229,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9775,1.0
airplane vs bird,airplane,bird,2,4,1,laplacian,small_mu,75,75,74,149,24,18302.06691585261,71841.17087459927,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.975,0.1
airplane vs bird,airplane,bird,2,4,2,laplacian,small_mu,75,75,74,149,24,18302.06691585261,71841.17087459927,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.975,1.0
airplane vs bird,airplane,bird,2,4,4,rbf,small_mu,75,75,74,149,24,24585.241258919035,94970.95490219229,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9675,0.1
airplane vs bird,airplane,bird,2,4,6,rbf,small_mu,75,75,74,149,24,24585.241258919035,94970.95490219229,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9725,1.0
airplane vs bird,airplane,bird,2,4,8,laplacian,small_mu,75,75,74,149,24,18302.06691585261,71841.17087459927,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9775,10.0
airplane vs bird,airplane,bird,2,4,10,rbf,small_mu,75,75,74,149,24,24585.241258919035,94970.95490219229,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.975,10.0
airplane vs bird,airplane,bird,2,4,16,rbf,small_mu,75,75,74,149,24,24585.241258919035,94970.95490219229,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9775,1.0
airplane vs bird,airplane,bird,2,4,24,laplacian,small_mu,75,75,74,149,24,18302.06691585261,71841.17087459927,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.98,1.0
airplane vs bird,airplane,bird,2,8,1,rbf,large_mu,37,37,37,73,24,27907.936705444965,48487.10364607647,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.97,0.1
airplane vs bird,airplane,bird,2,8,2,linear,large_mu,37,37,37,73,24,27937797.266134348,22151117.295685697,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9675,0.1
airplane vs bird,airplane,bird,2,8,4,rbf,large_mu,37,37,37,73,24,27907.936705444965,48487.10364607647,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.975,10.0
airplane vs bird,airplane,bird,2,8,6,rbf,large_mu,37,37,37,73,24,27907.936705444965,48487.10364607647,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9775,10.0
airplane vs bird,airplane,bird,2,8,8,rbf,large_mu,37,37,37,73,24,27907.936705444965,48487.10364607647,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9825,1.0
airplane vs bird,airplane,bird,2,8,10,rbf,large_mu,37,37,37,73,24,27907.936705444965,48487.10364607647,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9825,0.1
airplane vs bird,airplane,bird,2,8,16,laplacian,large_mu,37,37,37,73,24,20863.085292352986,36482.66678484539,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9825,0.1
airplane vs bird,airplane,bird,2,8,24,rbf,large_mu,37,37,37,73,24,27907.936705444965,48487.10364607647,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9825,0.1
airplane vs bird,airplane,bird,2,8,1,laplacian,small_mu,37,37,36,73,24,20863.085292352986,36482.66678484539,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9775,0.1
airplane vs bird,airplane,bird,2,8,2,rbf,small_mu,37,37,36,73,24,27907.936705444965,48487.10364607647,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9775,0.1
airplane vs bird,airplane,bird,2,8,4,laplacian,small_mu,37,37,36,73,24,20863.085292352986,36482.66678484539,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9775,1.0
airplane vs bird,airplane,bird,2,8,6,rbf,small_mu,37,37,36,73,24,27907.936705444965,48487.10364607647,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9775,1.0
airplane vs bird,airplane,bird,2,8,8,rbf,small_mu,37,37,36,73,24,27907.936705444965,48487.10364607647,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9775,10.0
airplane vs bird,airplane,bird,2,8,10,rbf,small_mu,37,37,36,73,24,27907.936705444965,48487.10364607647,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.98,1.0
airplane vs bird,airplane,bird,2,8,16,laplacian,small_mu,37,37,36,73,24,20863.085292352986,36482.66678484539,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.98,10.0
airplane vs bird,airplane,bird,2,8,24,rbf,small_mu,37,37,36,73,24,27907.936705444965,48487.10364607647,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.985,1.0
airplane vs bird,airplane,bird,2,16,1,rbf,large_mu,18,18,18,35,24,30417.7641856509,23710.853664135033,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.975,0.1
airplane vs bird,airplane,bird,2,16,2,rbf,large_mu,18,18,18,35,24,30417.7641856509,23710.853664135033,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9725,0.1
airplane vs bird,airplane,bird,2,16,4,rbf,large_mu,18,18,18,35,24,30417.7641856509,23710.853664135033,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9775,1.0
airplane vs bird,airplane,bird,2,16,6,rbf,large_mu,18,18,18,35,24,30417.7641856509,23710.853664135033,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.98,0.1
airplane vs bird,airplane,bird,2,16,8,rbf,large_mu,18,18,18,35,24,30417.7641856509,23710.853664135033,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.98,0.1
airplane vs bird,airplane,bird,2,16,10,rbf,large_mu,18,18,18,35,24,30417.7641856509,23710.853664135033,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.98,0.1
airplane vs bird,airplane,bird,2,16,16,rbf,large_mu,18,18,18,35,24,30417.7641856509,23710.853664135033,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9775,0.1
airplane vs bird,airplane,bird,2,16,1,rbf,small_mu,18,18,17,35,24,30417.7641856509,23710.853664135033,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.98,0.1
airplane vs bird,airplane,bird,2,16,2,polynomial,small_mu,18,18,17,35,24,168639.37994677597,76484.4356695046,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9825,10.0
