pair,class0,class1,rep,m,r,stage1_kernel,family,class0_bags,class1_bags,stable_r_limit,coordinate_rank,available_directions,D_mu,D_covariance,heuristic_family,evaluation_protocol,status,status_detail,acc,probe_C
airplane vs bird,airplane,bird,0,8,6,linear,small_mu,37,37,36,73,24,31375178.885891218,21809649.207792222,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,1.0
airplane vs bird,airplane,bird,0,8,8,linear,small_mu,37,37,36,73,24,31375178.885891218,21809649.207792222,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.955,1.0
airplane vs bird,airplane,bird,0,8,10,linear,small_mu,37,37,36,73,24,31375178.885891218,21809649.207792222,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.94,1.0
airplane vs bird,airplane,bird,0,8,16,linear,small_mu,37,37,36,73,24,31375178.885891218,21809649.207792222,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.94,1.0
airplane vs bird,airplane,bird,0,8,24,linear,small_mu,37,37,36,73,24,31375178.885891218,21809649.207792222,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9425,10.0
airplane vs bird,airplane,bird,0,8,1,rbf,large_mu,37,37,37,73,24,28661.18499383355,48906.02727107413,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9325,0.1
airplane vs bird,airplane,bird,0,8,2,rbf,large_mu,37,37,37,73,24,28661.18499383355,48906.02727107413,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.935,0.1
airplane vs bird,airplane,bird,0,8,4,rbf,large_mu,37,37,37,73,24,28661.18499383355,48906.02727107413,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.94,0.1
airplane vs bird,airplane,bird,0,8,6,rbf,large_mu,37,37,37,73,24,28661.18499383355,48906.02727107413,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,1.0
airplane vs bird,airplane,bird,0,8,8,rbf,large_mu,37,37,37,73,24,28661.18499383355,48906.02727107413,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9525,0.1
