pair,class0,class1,m,r,me_large_acc,me_large_std,me_small_acc,me_small_std,original_large_acc,original_large_std,original_small_acc,original_small_std,kfda_acc,kfda_std,supcon_acc,supcon_std,original_best_acc,original_best_family,me_best_acc,me_best_family,me_minus_original,me_minus_kfda,me_minus_supcon,me_original_abs_gap,minimum_baseline_margin,me_retains_original_and_wins
airplane vs bird,airplane,bird,16,8,0.9625,0.015612494995995985,0.9591666666666666,0.018427786989580006,0.9541666666666666,0.005204164998665323,0.6366666666666667,0.04259792639710684,0.9466666666666667,0.01587713240271469,0.965,0.009013878188659974,0.9541666666666666,large_mu,0.9625,large_mu,0.008333333333333415,0.015833333333333366,-0.0024999999999999467,0.008333333333333415,-0.0024999999999999467,False
airplane vs bird,airplane,bird,16,10,0.9608333333333333,0.017017148213885117,0.96,0.015612494995996044,0.9558333333333334,0.007637626158259752,0.6491666666666667,0.037610946987989224,0.9466666666666667,0.01587713240271469,0.9641666666666667,0.0038188130791299004,0.9558333333333334,large_mu,0.9608333333333333,large_mu,0.004999999999999893,0.01416666666666666,-0.0033333333333334103,0.004999999999999893,-0.0033333333333334103,False
airplane vs bird,airplane,bird,16,16,0.9616666666666666,0.014215601757693352,0.96,0.015612494995996044,0.9575,0.006614378277661519,0.6841666666666667,0.01010362971081844,0.9466666666666667,0.01587713240271469,0.9641666666666667,0.008036375634160813,0.9575,large_mu,0.9616666666666666,large_mu,0.004166666666666541,0.014999999999999902,-0.0025000000000001688,0.004166666666666541,-0.0025000000000001688,False
airplane vs ship,airplane,ship,4,1,0.9091666666666667,0.020966242709015228,0.9249999999999999,0.019843134832984437,0.89,0.01639359631075499,0.5983333333333333,0.03329164059239705,0.8691666666666666,0.023760962382305417,0.9266666666666667,0.006291528696058879,0.89,large_mu,0.9249999999999999,small_mu,0.03499999999999992,0.05583333333333329,-0.0016666666666668162,0.03499999999999992,-0.0016666666666668162,False
airplane vs ship,airplane,ship,4,2,0.9241666666666667,0.01876388374866287,0.9258333333333333,0.020361319538117702,0.8925,0.015000000000000013,0.615,0.034369317712168765,0.8691666666666666,0.023760962382305417,0.9241666666666667,0.008036375634160792,0.8925,large_mu,0.9258333333333333,small_mu,0.033333333333333326,0.05666666666666664,0.0016666666666665941,0.033333333333333326,0.0016666666666665941,True
airplane vs ship,airplane,ship,4,4,0.9199999999999999,0.01984313483298446,0.9291666666666667,0.02096624270901517,0.8916666666666666,0.016266017746619264,0.6058333333333333,0.032627953250753156,0.8691666666666666,0.023760962382305417,0.9266666666666667,0.0028867513459481155,0.8916666666666666,large_mu,0.9291666666666667,small_mu,0.03750000000000009,0.06000000000000005,0.0024999999999999467,0.03750000000000009,0.0024999999999999467,True
airplane vs ship,airplane,ship,4,6,0.9216666666666667,0.01664582029619852,0.9308333333333333,0.014215601757693297,0.8933333333333334,0.01755942292142127,0.6158333333333333,0.03262795325075315,0.8691666666666666,0.023760962382305417,0.9283333333333333,0.005773502691896279,0.8933333333333334,large_mu,0.9308333333333333,small_mu,0.03749999999999987,0.06166666666666665,0.0024999999999999467,0.03749999999999987,0.0024999999999999467,True
airplane vs ship,airplane,ship,4,8,0.9225,0.012990381056766616,0.9275000000000001,0.019843134832984437,0.8958333333333334,0.01755942292142127,0.6175,0.02499999999999994,0.8691666666666666,0.023760962382305417,0.9258333333333333,0.003818813079129873,0.8958333333333334,large_mu,0.9275000000000001,small_mu,0.03166666666666673,0.05833333333333346,0.0016666666666668162,0.03166666666666673,0.0016666666666668162,True
airplane vs ship,airplane,ship,4,10,0.9241666666666667,0.017017148213885107,0.9291666666666667,0.02096624270901519,0.9,0.01984313483298446,0.6266666666666666,0.0361708906903512,0.8691666666666666,0.023760962382305417,0.9241666666666667,0.0028867513459481155,0.9,large_mu,0.9291666666666667,small_mu,0.029166666666666674,0.06000000000000005,0.0050000000000000044,0.029166666666666674,0.0050000000000000044,True
airplane vs ship,airplane,ship,4,16,0.9249999999999999,0.019525624189766663,0.9249999999999999,0.024622144504490243,0.8983333333333334,0.017559422921421222,0.6625,0.04670385423067352,0.8691666666666666,0.023760962382305417,0.9241666666666667,0.007216878364870297,0.8983333333333334,large_mu,0.9249999999999999,large_mu,0.026666666666666505,0.05583333333333329,0.0008333333333332416,0.026666666666666505,0.0008333333333332416,True
airplane vs ship,airplane,ship,4,24,0.93,0.017320508075688724,0.9266666666666667,0.024281337140555782,0.9033333333333333,0.01626601774661935,0.6925,0.019843134832984374,0.8691666666666666,0.023760962382305417,0.9199999999999999,0.004330127018922213,0.9033333333333333,large_mu,0.93,large_mu,0.026666666666666727,0.060833333333333406,0.01000000000000012,0.026666666666666727,0.01000000000000012,True
airplane vs ship,airplane,ship,8,1,0.9075000000000001,0.018027756377319955,0.9208333333333334,0.020361319538117737,0.89,0.01639359631075499,0.5983333333333333,0.03329164059239705,0.8691666666666666,0.023760962382305417,0.9266666666666667,0.006291528696058879,0.89,large_mu,0.9208333333333334,small_mu,0.03083333333333338,0.05166666666666675,-0.005833333333333357,0.03083333333333338,-0.005833333333333357,False
